"","Cruise","Station","Type","mon.day.yr","hh.mm","Longitude","Latitude","WCDepth","SampleDepth","QF.0","TEMP","QF.1","PSAL","QF.2","DOXY.umol.l.","QF.3","DateTime"
"2873385","ICES/90KEOCL    1","0013","B","4/8/1991","11:25",5.5,41.9,2324,502,0,12.91,0,38.388,0,NA,NA,1991-04-08 11:25:00
"1170768","ICES/07PEENQ540B ","8757","B","3/15/1995","01:00",13.16,54.6533,18,7,0,3.265,0,8.784,0,406.86,0,1995-03-15 01:00:00
"2627882","ICES/67SL        ","0108","B","6/15/1990","09:22",7.7518,56.9193,40,30,0,9.19,0,34.75,0,NA,NA,1990-06-15 09:22:00
"1132206","ICES/06WHENQ646/E","0315","B","5/27/1994","13:51",1.2925,57.8512,94,80,0,5.95,0,34.95,0,NA,NA,1994-05-27 13:51:00
"1982583","ICES/58JHENQ452  ","0844","B","6/26/1995","04:03",-9.75380000000001,50.2508,125,95,0,10.329,0,35.4767,0,NA,NA,1995-06-26 04:03:00
"3342108","ICES/74SCENQ716l ","0627","B","12/11/2002","02:28",-3.14280000000002,61.3548,1340,500,0,0.58,0,34.898,0,NA,NA,2002-12-11 02:28:00
"2362043","ICES/58JHENQ679k ","0419","B","4/28/2005","14:10",4.9987,58.254,303,60,0,7.438,0,34.9255,0,NA,NA,2005-04-28 14:10:00
"445656","ICES/07AL        ","0399","B","6/13/1990","21:10",10.4783,58.085,148,100,0,7.42,0,35.18,0,272.88,0,1990-06-13 21:10:00
"3267441","ICES/74RYENQ512x ","0051","B","10/25/1999","19:25",0.1672,54.3333,61,25,0,11.544,0,34.521,0,NA,NA,1999-10-25 19:25:00
"693019","ICES/35TTENQ630d4","0189","B","9/8/1997","10:30",5.0833,43,628,273,0,13.41,0,38.46,0,NA,NA,1997-09-08 10:30:00
"3043664","ICES/74CHENQ413C7","0056","B","9/4/1990","08:43",-6.56670000000003,57.2667,0,45,0,13.941,0,34.424,0,NA,NA,1990-09-04 08:43:00
"517417","ICES/35KRENQ630c4","2054","B","3/22/1993","11:34",7.4203,43.6273,0,30.9,0,13.019,0,38.033,0,NA,NA,1993-03-22 11:34:00
"253298","ICES/26MHENQ1047 ","0175","B","7/3/2000","14:25",-9.39999999999998,60.7167,260,30,0,9.7674,0,35.3235,0,NA,NA,2000-07-03 14:25:00
"1134990","ICES/06AKENQ594a ","0794","B","4/9/1995","03:42",15.7333,55.4667,86,11,0,3.39,0,7.73,0,NA,NA,1995-04-09 03:42:00
"1001499","ICES/07AL        ","0143","B","5/7/1991","13:08",12.2167,54.4667,27,1,0,6.99,0,8.76,0,372.92,0,1991-05-07 13:08:00
"100333","ICES/26MHENQ1047 ","0005","B","8/13/1993","01:08",-6.76299999999998,62.1582,68,25,0,8.6957,0,34.9422,0,NA,NA,1993-08-13 01:08:00
"1129235","ICES/07PEENQ540B ","3165","B","8/9/1994","13:06",13.9367,54.1667,13,10,0,21.884,0,7.169,0,NA,NA,1994-08-09 13:06:00
"493536","ICES/35KRENQ54701","0007","B","6/12/1991","11:02",7.5002,43.42,0,163,0,13.23,0,38.412,0,NA,NA,1991-06-12 11:02:00
"769658","ICES/35HTENQ630e0","0106","B","10/3/1999","15:17",7.7353,43.3758,2161,31,0,14.6,0,38.3,0,294.76,0,1999-10-03 15:17:00
"80055","ICES/26MHENQ1047 ","0143","B","7/26/1992","00:30",-7.63330000000002,60.95,920,675,0,0.1612,0,34.9043,0,NA,NA,1992-07-26 00:30:00
"2194960","ICES/58GSENQ679e ","0647","B","6/9/2001","07:17",-10.242,49.2605,156,55,0,11.175,0,35.4854,0,NA,NA,2001-06-09 07:17:00
"3109049","ICES/74SCENQ539  ","0267","B","12/19/1993","00:22",-1.99520000000001,58.0037,80,35,0,7.78,0,34.883,0,NA,NA,1993-12-19 00:22:00
"2720884","ICES/6899ENQ839a ","0247","B","3/13/2006","20:28",-8.82900000000001,41.3455,44,25.6,0,12.555,0,35.747,0,NA,NA,2006-03-13 20:28:00
"2043069","ICES/58GSENQ679a ","0426","B","7/4/1997","12:40",0.9948,57.817,112,45,0,7.59,0,35.0102,0,NA,NA,1997-07-04 12:40:00
"1932977","ICES/58GSENQ452  ","0681","B","5/20/1994","14:31",-5.35019999999997,61.8173,174,125,0,6.39,0,35.14,0,NA,NA,1994-05-20 14:31:00
"2108134","ICES/58MSENQ679a ","1011","B","10/22/1998","19:19",4.2235,59.8802,284,271,0,7.311,0,35.2271,0,NA,NA,1998-10-22 19:19:00
"3253477","ICES/74CZJMP512j ","0168","B","2/10/1998","01:32",2.3303,52.0022,51,5,0,8.427,0,35.303,0,NA,NA,1998-02-10 01:32:00
"2024642","ICES/58JHENQ484  ","0725","B","6/24/1996","03:05",-0.699200000000019,55.5002,92,75,0,5.824,0,34.6651,0,NA,NA,1996-06-24 03:05:00
"1870824","ICES/58GSENQ484  ","1235","B","11/17/1992","13:04",2.984,58.001,72,35,0,9.082,0,35.2272,0,NA,NA,1992-11-17 13:04:00
"69652","ICES/26GT        ","0155","B","9/29/1992","09:00",11.0333,58,122,70,0,13.06,0,34.85,0,NA,NA,1992-09-29 09:00:00
"2132649","ICES/58JHENQ679b ","0321","B","4/25/1999","02:55",1.2022,62.4337,651,575,0,2.074,0,34.9159,0,NA,NA,1999-04-25 02:55:00
"1254297","ICES/06WHENQ710f/","0105","B","8/8/1999","16:26",5.3488,54.776,44,25,0,14.806,0,34.406,0,NA,NA,1999-08-08 16:26:00
"1293869","ICES/06WHENQ710m ","0100","B","1/27/2003","11:36",0.622,59.7432,126,4,0,7.52,0,35.189,0,NA,NA,2003-01-27 11:36:00
"1951583","ICES/58MSENQ452  ","0077","B","4/10/1994","00:36",4.4783,62.5013,190,65,0,4.461,0,33.8672,0,NA,NA,1994-04-10 00:36:00
"2749176","ICES/29GDENQ82477","0121","B","5/31/1991","11:41",0.9183,39.65,1144,20,0,14.185,0,37.91,0,NA,NA,1991-05-31 11:41:00
"3121917","ICES/74CHENQ662B ","0099","B","11/11/1994","18:31",-0.0502999999999929,54.0502,22,17.5,0,10.981,0,34.294,0,NA,NA,1994-11-11 18:31:00
"2273222","ICES/58AAENQ679s ","0639","B","7/12/2003","19:50",0.7025,62.107,452,60,0,10.066,0,35.3736,0,NA,NA,2003-07-12 19:50:00
"566086","ICES/35LUENQ630a0","0025","B","6/20/1995","04:55",3.4487,42.497,769,350.8,0,13.219,0,38.45,0,NA,NA,1995-06-20 04:55:00
"974054","ICES/06AZENQ710c/","1001","B","5/8/1990","04:10",6.25,54.6667,38,15,0,8.368,0,34.678,0,NA,NA,1990-05-08 04:10:00
"306577","ICES/26MHENQ1047 ","0027","B","11/2/2003","03:29",-7.88600000000002,61.336,809,120,0,9.8929,0,35.3244,0,NA,NA,2003-11-02 03:29:00
"375444","ICES/26MHENQ1047 ","0119","B","6/29/2007","06:15",-7.28250000000003,61.4558,162,50,0,9.1241,0,35.2312,0,NA,NA,2007-06-29 06:15:00
"160116","ICES/26MHENQ1047 ","0070","B","2/16/1996","05:20",-6.0822,62.6675,220,183,0,7.8702,0,35.227,0,NA,NA,1996-02-16 05:20:00
"2454375","ICES/58JHENQ679r ","0605","B","7/26/2008","01:13",2.4985,60.3438,92,25,0,11.614,0,34.7512,0,NA,NA,2008-07-26 01:13:00
"1446284","ICES/45CVENQ762e ","2667","B","8/1/2002","09:24",-10.4097,51.421,138,95,0,11.1422,0,35.5475,0,NA,NA,2002-08-01 09:24:00
